Year and month,Food Waste,Recycled Waste
2019-01-01,1968.68,735.4
2019-02-01,1709.9,661.7
2019-03-01,1974.4,812.8
2019-04-01,1970.41,911.5
2019-05-01,2112.07,886.8
2019-06-01,1998.29,826.1
2019-07-01,2148.91,920.8
2019-08-01,2040.59,802.6
2019-09-01,1904.48,889.3
2019-10-01,2064.06,1018.5
2019-11-01,2032.18,908.9
2019-12-01,2080.41,916.3
2020-01-01,1900.03,805.5
2020-02-01,1606.13,765.9
2020-03-01,1437.02,762.47
2020-04-01,1493.19,711.96
2020-05-01,1711.8,822.22
2020-06-01,1780.56,802.59
2020-07-01,1879.17,801
2020-08-01,1613.96,804.6
2020-09-01,1424.71,895.04
